"","gene_id","gene_name","log2FoldChange","DE","hl"
"191","ENSMUSG00000030678","Maz",2.583157254,"Projections",7.27283843671265
"192","ENSMUSG00000028998","Tomm7",2.897707351,"Projections",7.2625664600171
"193","ENSMUSG00000037601","Nme1",1.064088595,"Projections",7.25466598285322
"194","ENSMUSG00000063065","Mapk3",0.636373921,"Projections",7.22559667672838
"195","ENSMUSG00000020949","Fkbp3",0.653535586,"Projections",7.22122969448445
"196","ENSMUSG00000075020","Mir670hg",2.083934124,"Projections",7.18362579345369
"197","ENSMUSG00000048978","Nrsn1",2.541325106,"Projections",7.1593255222824
"198","ENSMUSG00000062328","Rpl17",2.965103956,"Projections",7.13781104830557
"199","ENSMUSG00000062963","Ufc1",1.195668003,"Projections",7.12373035554523
"200","ENSMUSG00000020684","Rasl10b",4.234859923,"Projections",7.12074316191421
"201","ENSMUSG00000036402","Gng12",0.707036605,"Projections",7.12069285004963
