gene_id,Not significant,m6A depleted,m6A enriched,msa_var
ENSMUSG00000001082,4,3,0,m6A depleted
ENSMUSG00000001089,1,0,6,m6A enriched
ENSMUSG00000001098,3,4,0,m6A depleted
ENSMUSG00000001100,4,3,0,m6A depleted
ENSMUSG00000001103,3,0,0,Not significant
ENSMUSG00000001105,5,2,0,Not significant
ENSMUSG00000001119,7,0,0,Not significant
ENSMUSG00000001120,1,6,0,m6A depleted
ENSMUSG00000001123,5,2,0,Not significant
ENSMUSG00000001127,3,4,0,m6A depleted
ENSMUSG00000001128,7,0,0,Not significant
ENSMUSG00000001131,7,0,0,Not significant
ENSMUSG00000001134,5,2,0,Not significant
ENSMUSG00000001138,4,0,3,m6A enriched
ENSMUSG00000001143,6,0,1,Not significant
ENSMUSG00000001150,6,1,0,Not significant
ENSMUSG00000001151,6,0,1,Not significant
ENSMUSG00000001155,1,0,0,Not significant
ENSMUSG00000001156,6,0,1,Not significant
ENSMUSG00000001157,5,2,0,Not significant
ENSMUSG00000001158,6,1,0,Not significant
ENSMUSG00000001166,7,0,0,Not significant
ENSMUSG00000001173,5,2,0,Not significant
ENSMUSG00000001175,5,2,0,Not significant
ENSMUSG00000001211,5,2,0,Not significant
ENSMUSG00000001225,3,0,0,Not significant
ENSMUSG00000001227,7,0,0,Not significant
ENSMUSG00000001228,7,0,0,Not significant
ENSMUSG00000001229,4,3,0,m6A depleted
ENSMUSG00000001240,6,1,0,Not significant
ENSMUSG00000001247,6,1,0,Not significant
ENSMUSG00000001248,3,4,0,m6A depleted
ENSMUSG00000001249,7,0,0,Not significant
ENSMUSG00000001260,7,0,0,Not significant
ENSMUSG00000001270,3,4,0,m6A depleted
ENSMUSG00000001280,7,0,0,Not significant
ENSMUSG00000001281,5,0,0,Not significant
ENSMUSG00000001285,5,2,0,Not significant
ENSMUSG00000001288,7,0,0,Not significant
ENSMUSG00000001289,5,2,0,Not significant
ENSMUSG00000001300,1,0,6,m6A enriched
ENSMUSG00000001305,1,0,6,m6A enriched
ENSMUSG00000001313,5,2,0,Not significant
ENSMUSG00000001323,4,3,0,m6A depleted
ENSMUSG00000001333,6,0,1,Not significant
ENSMUSG00000001334,4,0,3,m6A enriched
ENSMUSG00000001348,6,1,0,Not significant
ENSMUSG00000001349,6,1,0,Not significant
ENSMUSG00000001366,4,3,0,m6A depleted
ENSMUSG00000001376,2,5,0,m6A depleted
ENSMUSG00000001380,6,0,1,Not significant
ENSMUSG00000001383,6,1,0,Not significant
ENSMUSG00000001403,5,2,0,Not significant
